gameid,url,league,split,date,week,game,patchno,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,k,d,a,teamkills,teamdeaths,doubles,triples,quadras,pentas,fb,fbassist,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,elementals,oppelementals,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,oppelders,herald,heraldtime,ft,fttime,firstmidouter,firsttothreetowers,teamtowerkills,opptowerkills,fbaron,fbarontime,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,dmgshare,earnedgoldshare,wards,wpm,wardshare,wardkills,wcpm,visionwards,visionwardbuys,visiblewardclearrate,invisiblewardclearrate,totalgold,earnedgpm,goldspent,gspd,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10,csat10,oppcsat10,csdat10,csat15,oppcsat15,csdat15
2002860105,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860105?gameHash=4a9fcb220d39e584&tab=overview,WC,2018-W,43374.11483,PI,1,8.19,1,Blue,Top,Licorice,Cloud9,Aatrox,Vel'koz,Shen,Akali,Irelia,Braum,30.18333333,1,3,1,5,13,6,0,0,0,0,0,0,0,11.76363333,0.09939260077,0.03313086692,0.6294864716,0,10.68968333,1,2,0,0,0,0,0,0,0,0,1,,1,11.44318333,1,1,10,1,1,26.67303333,1,0,11334,375.5052457,0.2186764422,0.2525722087,13,0.43070127,0.1382978723,7,0.2319160685,4,5, , ,14404,345.6861403,11725,0.1788617886,274,40,13,12,10.40309221,3463,3044,419,6066,4483,1583,5060,4438,622,97,76,21,156,117,39
2002860105,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860105?gameHash=4a9fcb220d39e584&tab=overview,WC,2018-W,43374.11483,PI,1,8.19,2,Blue,Jungle,Blaber,Cloud9,Xin Zhao,Vel'koz,Shen,Akali,Irelia,Braum,30.18333333,1,4,2,4,13,6,1,0,0,0,0,0,0,11.76363333,0.1325234677,0.06626173385,0.6294864716,0,10.68968333,1,2,1,2,1,0,0,0,0,0,1,,1,11.44318333,1,1,10,1,1,26.67303333,1,0,7941,263.0922142,0.1532124252,0.1958315985,9,0.2981778023,0.09574468085,12,0.3975704031,7,7, , ,12060,268.0273882,10608,0.2090795502,23,158,95,16,5.996686913,3034,2968,66,4702,4366,336,3453,3356,97,61,51,10,90,82,8
2002860105,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860105?gameHash=4a9fcb220d39e584&tab=overview,WC,2018-W,43374.11483,PI,1,8.19,3,Blue,Middle,Jensen,Cloud9,Ryze,Vel'koz,Shen,Akali,Irelia,Braum,30.18333333,1,2,1,5,13,6,0,0,0,0,0,0,0,11.76363333,0.06626173385,0.03313086692,0.6294864716,0,10.68968333,1,2,0,0,0,0,0,0,0,0,1,,1,11.44318333,1,1,10,1,1,26.67303333,1,0,11482,380.408614,0.2215319313,0.2195542086,14,0.4638321369,0.1489361702,6,0.1987852015,8,10, , ,13040,300.4956378,11950,0.2180974478,287,23,16,5,10.27056875,3444,3314,130,5650,5204,446,4949,4971,-22,95,92,3,161,156,5
2002860105,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860105?gameHash=4a9fcb220d39e584&tab=overview,WC,2018-W,43374.11483,PI,1,8.19,4,Blue,ADC,Sneaky,Cloud9,Kai'Sa,Vel'koz,Shen,Akali,Irelia,Braum,30.18333333,1,4,0,6,13,6,0,0,0,0,1,0,0,11.76363333,0.1325234677,0.03313086692,0.6294864716,0,10.68968333,1,2,0,0,0,0,0,0,0,0,1,,1,11.44318333,1,1,10,1,1,26.67303333,1,0,17262,571.9050248,0.3330503569,0.2318028215,12,0.3975704031,0.1276595745,10,0.3313086692,3,4, , ,13546,317.2598564,11150,-0.02654867257,288,8,4,0,9.80673661,3161,3151,10,5483,5082,401,3082,3402,-320,82,84,-2,138,146,-8
2002860105,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860105?gameHash=4a9fcb220d39e584&tab=overview,WC,2018-W,43374.11483,PI,1,8.19,5,Blue,Support,Zeyzal,Cloud9,Leona,Vel'koz,Shen,Akali,Irelia,Braum,30.18333333,1,0,2,10,13,6,0,0,0,0,0,1,0,11.76363333,0,0.03313086692,0.6294864716,0,10.68968333,1,2,0,0,0,0,0,0,0,0,1,,1,11.44318333,1,1,10,1,1,26.67303333,1,0,3811,126.2617338,0.0735288443,0.1002391626,46,1.524019879,0.4893617021,5,0.1656543346,19,19, , ,8111,137.1935947,7425,0.1758241758,60,0,0,0,1.987852015,2065,2018,47,3389,3083,306,2902,2607,295,17,3,14,29,8,21
2002860105,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860105?gameHash=4a9fcb220d39e584&tab=overview,WC,2018-W,43374.11483,PI,1,8.19,6,Red,Top,Zantins,KaBuM e-Sports,Urgot,Camille,Alistar,Kindred,Galio,Thresh,30.18333333,0,1,3,0,6,13,0,0,0,0,0,0,0,11.76363333,0.03313086692,0.09939260077,0.6294864716,0,10.68968333,2,1,0,0,0,0,0,0,0,0,0,,0,11.44318333,0,0,1,10,0,26.67303333,0,1,5383,178.3434567,0.1296983423,0.2279300501,13,0.43070127,0.1444444444,2,0.06626173385,3,5, , ,10182,205.8076201,9800,-0.1788617886,242,18,18,0,8.6140254,3044,3463,-419,4483,6066,-1583,4438,5060,-622,76,97,-21,117,156,-39
2002860105,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860105?gameHash=4a9fcb220d39e584&tab=overview,WC,2018-W,43374.11483,PI,1,8.19,7,Red,Jungle,Ranger,KaBuM e-Sports,Olaf,Camille,Alistar,Kindred,Galio,Thresh,30.18333333,0,2,2,3,6,13,0,0,0,0,0,0,0,11.76363333,0.06626173385,0.1325234677,0.6294864716,1,10.68968333,2,1,2,1,0,0,2,0,0,0,0,,0,11.44318333,0,0,1,10,0,26.67303333,0,1,5701,188.8790723,0.1373602544,0.1718644739,13,0.43070127,0.1444444444,8,0.2650469354,7,8, , ,8654,155.1836554,8600,-0.2090795502,16,122,91,2,4.572059636,2968,3034,-66,4366,4702,-336,3356,3453,-97,51,61,-10,82,90,-8
2002860105,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860105?gameHash=4a9fcb220d39e584&tab=overview,WC,2018-W,43374.11483,PI,1,8.19,8,Red,Middle,dyNquedo,KaBuM e-Sports,Viktor,Camille,Alistar,Kindred,Galio,Thresh,30.18333333,0,1,2,1,6,13,0,0,0,0,0,0,0,11.76363333,0.03313086692,0.06626173385,0.6294864716,0,10.68968333,2,1,0,0,0,0,0,0,0,0,0,,0,11.44318333,0,0,1,10,0,26.67303333,0,1,12578,416.7200442,0.3030551272,0.2396348399,15,0.4969630039,0.1666666667,2,0.06626173385,5,8, , ,10501,216.3763666,9600,-0.2180974478,288,8,8,0,9.80673661,3314,3444,-130,5204,5650,-446,4971,4949,22,92,95,-3,156,161,-5
2002860105,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860105?gameHash=4a9fcb220d39e584&tab=overview,WC,2018-W,43374.11483,PI,1,8.19,9,Red,ADC,TitaN,KaBuM e-Sports,Lucian,Camille,Alistar,Kindred,Galio,Thresh,30.18333333,0,1,2,4,6,13,0,0,0,0,0,0,0,11.76363333,0.03313086692,0.1325234677,0.6294864716,0,10.68968333,2,1,0,0,0,0,0,0,0,0,0,,0,11.44318333,0,0,1,10,0,26.67303333,0,1,14546,481.9215903,0.3504722436,0.2747492093,15,0.4969630039,0.1666666667,7,0.2319160685,8,9, , ,11458,248.0826063,11450,0.02654867257,272,10,10,0,9.342904473,3151,3161,-10,5082,5483,-401,3402,3082,320,84,82,2,146,138,8
2002860105,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860105?gameHash=4a9fcb220d39e584&tab=overview,WC,2018-W,43374.11483,PI,1,8.19,10,Red,Support,Riyev,KaBuM e-Sports,Pyke,Camille,Alistar,Kindred,Galio,Thresh,30.18333333,0,1,4,3,6,13,0,0,0,0,0,0,1,11.76363333,0.03313086692,0,0.6294864716,0,10.68968333,2,1,0,0,0,0,0,0,0,0,0,,0,11.44318333,0,0,1,10,0,26.67303333,0,1,3296,109.1993374,0.07941403238,0.08582142674,34,1.126449475,0.3777777778,14,0.4638321369,9,13, , ,6309,77.4917725,6225,-0.1758241758,17,0,0,0,0.5632247377,2018,2065,-47,3083,3389,-306,2607,2902,-295,3,17,-14,8,29,-21
